name,lastprice
AED ,3.6732
AFN,76.589301
ALL,112.678242
AMD,484.599728
ANG,1.794252
AOA,589.667
ARS,68.3004
AUD,1.511132
AWG,1.8
AZN,1.7025
BAM,1.774663
BBD,2
BDT,84.910287
BGN,1.775736
BHD,0.377641
BIF,1899.851031
BMD,1
BND,1.415148
BOB,6.902162
BRL,5.274264
BSD,1
BTC,0.000109969135
BTN,75.606109
BWP,11.815621
BYN,2.409705
BZD,2.014854
CAD,1.375899
CDF,1823.118655
CHF,0.968189
CLF,0.029397
CLP,820.199923
CNH,7.178831
CNY,7.1693
COP,3732.034778
CRC,569.28975
CUC,1
CUP,25.75
CVE,100.6
CZK,24.623526
DJF,178.05
DKK,6.770031
DOP,55.788312
DZD,128.667158
EGP,15.840227
ERN,15.002949
ETB,33.997505
EUR,0.90801
FJD,2.22325
FKP,0.815431
GBP,0.815431
GEL,3.195
GGP,0.815431
GHS,5.768977
GIP,0.815431
GMD,51.46
GNF,9516.992275
GTQ,7.676882
GYD,209.53207
HKD,7.75515
HNL,24.961187
HRK,6.890454
HTG,106.430127
HUF,316.562477
IDR,14648.872
ILS,3.50242
IMP,0.815431
INR,75.894796
IQD,1192.19202
IRR,42105
ISK,137.11
JEP,0.815431
JMD,144.445723
JOD,0.709
JPY,107.7605
KES,107.05
KGS,73.569968
KHR,4114.182485
KMF,448.325225
KPW,900
KRW,1238.42
KWD,0.308651
KYD,0.832974
KZT,412.378142
LAK,8998.968759
LBP,1512.659641
LKR,186.22385
LRD,198.599979
LSL,17.382473
LYD,1.418071
MAD,9.849498
MDL,17.550109
MGA,3811.671768
MKD,55.981571
MMK,1404.9261
MNT,2804.851737
MOP,7.982415
MRO,357
MRU,38.173106
MUR,39.89794
MVR,15.45
MWK,735.754286
MXN,22.332837
MYR,4.3505
MZN,69.085
NAD,17.39
NGN,390.5
NIO,33.80856
NOK,9.8582
NPR,120.970005
NZD,1.616666
OMR,0.384987
PAB,1
PEN,3.439369
PGK,3.472045
PHP,50.678496
PKR,160.920535
PLN,4.023136
PYG,6624.697394
QAR,3.641
RON,4.3958
RSD,106.77
RUB,70.947153
RWF,945.975557
SAR,3.75657
SBD,8.336952
SCR,17.589961
SDG,55.325
SEK,9.598917
SGD,1.4195
SHP,0.815431
SLL,9755.000127
SOS,579.363312
SRD,7.458
SSP,130.26
STD,22050.34653
STN,22.4
SVC,8.746229
SYP,512.995062
SZL,17.369416
THB,31.92
TJS,10.243128
TMT,3.51
TND,2.8964
TOP,2.289215
TRY,6.77916
TTD,6.758977
TWD,30.002
TZS,2313.073286
UAH,26.956269
UGX,3785.456525
USD,1
UYU,43.227546
UZS,10141.09991
VEF,248487.6422
VES,193238.4477
VND,23332.58752
VUV,119.7348
WST,2.735228
XAF,595.615369
XAG,0.05799119
XAU,0.00058475
XCD,2.70255
XDR,0.732019
XOF,595.615369
XPD,0.00050546
XPF,108.354389
XPT,0.00118975
YER,250.325036
ZAR,17.38096
ZMW,17.917492
ZWL,322.000001